key,value,n_parcels,n_buildings,w
amenity,animal_boarding,TRUE,TRUE,TRUE
amenity,animal_shelter,TRUE,TRUE,TRUE
amenity,archive,TRUE,TRUE,TRUE
amenity,arts_centre,TRUE,TRUE,TRUE
amenity,atm,TRUE,TRUE,TRUE
amenity,baby_hatch,TRUE,TRUE,TRUE
amenity,bank,TRUE,TRUE,TRUE
amenity,bar,TRUE,TRUE,TRUE
amenity,bicycle_rental,,,TRUE
amenity,boat_rental,,,TRUE
amenity,bureau_de_change,TRUE,TRUE,TRUE
amenity,bus_station,TRUE,TRUE,TRUE
amenity,cafe,TRUE,TRUE,TRUE
amenity,car_rental,TRUE,TRUE,TRUE
amenity,car_wash,TRUE,TRUE,TRUE
amenity,casino,TRUE,TRUE,TRUE
amenity,charging_station,TRUE,TRUE,TRUE
amenity,childcare,TRUE,TRUE,TRUE
amenity,cinema,TRUE,TRUE,TRUE
amenity,clinic,TRUE,TRUE,TRUE
amenity,college,TRUE,TRUE,TRUE
amenity,community_centre,TRUE,TRUE,TRUE
amenity,conference_centre,TRUE,TRUE,TRUE
amenity,courthouse,TRUE,TRUE,TRUE
amenity,coworking_space,TRUE,TRUE,TRUE
amenity,crematorium,TRUE,TRUE,TRUE
amenity,dancing_school,TRUE,TRUE,TRUE
amenity,dentist,TRUE,TRUE,TRUE
amenity,doctors,TRUE,TRUE,TRUE
amenity,dojo,TRUE,TRUE,TRUE
amenity,driving_school,TRUE,TRUE,TRUE
amenity,events_venue,TRUE,TRUE,TRUE
amenity,exhibition_centre,TRUE,TRUE,TRUE
amenity,fast_food,TRUE,TRUE,TRUE
amenity,fire_station,TRUE,TRUE,TRUE
amenity,fish_spa,TRUE,TRUE,TRUE
amenity,flight_school,TRUE,TRUE,TRUE
amenity,food_court,TRUE,TRUE,TRUE
amenity,fuel,TRUE,TRUE,TRUE
amenity,gambling,TRUE,TRUE,TRUE
amenity,hospital,TRUE,TRUE,TRUE
amenity,ice_cream,,,TRUE
amenity,internet_cafe,TRUE,TRUE,TRUE
amenity,kindergarten,TRUE,TRUE,TRUE
amenity,library,TRUE,TRUE,TRUE
amenity,luggage_locker,,,TRUE
amenity,marketplace,,,TRUE
amenity,money_transfer,TRUE,TRUE,TRUE
amenity,music_school,TRUE,TRUE,TRUE
amenity,nightclub,TRUE,TRUE,TRUE
amenity,parcel_locker,TRUE,TRUE,TRUE
amenity,pharmacy,TRUE,TRUE,TRUE
amenity,place_of_worship,TRUE,TRUE,TRUE
amenity,police,TRUE,TRUE,TRUE
amenity,post_office,TRUE,TRUE,TRUE
amenity,printing_house,TRUE,TRUE,TRUE
amenity,prison,TRUE,TRUE,TRUE
amenity,pub,TRUE,TRUE,TRUE
amenity,public_bookcase,,,TRUE
amenity,ranger_station,,,TRUE
amenity,reception_desk,TRUE,TRUE,TRUE
amenity,research_institute,TRUE,TRUE,TRUE
amenity,restaurant,TRUE,TRUE,TRUE
amenity,sanatorium,TRUE,TRUE,TRUE
amenity,school,TRUE,TRUE,TRUE
amenity,shower,,,TRUE
amenity,social_centre,TRUE,TRUE,TRUE
amenity,social_facility,TRUE,TRUE,TRUE
amenity,sport_school,TRUE,TRUE,TRUE
amenity,stripclub,TRUE,TRUE,TRUE
amenity,student_accommodation,TRUE,TRUE,TRUE
amenity,studio,TRUE,TRUE,TRUE
amenity,theatre,TRUE,TRUE,TRUE
amenity,toilets,TRUE,TRUE,TRUE
amenity,townhall,TRUE,TRUE,TRUE
amenity,university,TRUE,TRUE,TRUE
amenity,vehicle_inspection,TRUE,TRUE,TRUE
amenity,veterinary,TRUE,TRUE,TRUE
amenity,veterinary_pharmacy,TRUE,TRUE,TRUE
amenity,waste_transfer_station,TRUE,TRUE,TRUE
craft,,TRUE,TRUE,TRUE
emergency,ambulance_station,TRUE,TRUE,TRUE
information,office,TRUE,TRUE,TRUE
information,visitor_centre,TRUE,TRUE,TRUE
leisure,adult_gaming_centre,TRUE,TRUE,TRUE
leisure,bowling_alley,TRUE,TRUE,TRUE
leisure,dance,TRUE,TRUE,TRUE
leisure,escape_game,TRUE,TRUE,TRUE
leisure,fitness_centre,TRUE,TRUE,TRUE
leisure,horse_riding,TRUE,TRUE,TRUE
leisure,ice_rink,TRUE,TRUE,TRUE
leisure,indoor_play,TRUE,TRUE,TRUE
leisure,resort,TRUE,TRUE,TRUE
leisure,sauna,,TRUE,
leisure,sports_centre,TRUE,TRUE,TRUE
leisure,sports_hall,TRUE,TRUE,TRUE
leisure,stadium,TRUE,TRUE,TRUE
leisure,tanning_salon,TRUE,TRUE,TRUE
leisure,water_park,TRUE,TRUE,TRUE
man_made,lighthouse,TRUE,TRUE,TRUE
man_made,observatory,TRUE,TRUE,TRUE
man_made,pumping_station,TRUE,TRUE,TRUE
man_made,wastewater_plant,TRUE,TRUE,TRUE
man_made,water_works,TRUE,TRUE,TRUE
man_made,works,TRUE,TRUE,TRUE
office,,TRUE,TRUE,TRUE
recycling_type,centre,TRUE,TRUE,TRUE
shop,,TRUE,TRUE,TRUE
tourism,apartment,TRUE,TRUE,TRUE
tourism,chalet,TRUE,TRUE,TRUE
tourism,gallery,TRUE,TRUE,TRUE
tourism,guest_house,TRUE,TRUE,TRUE
tourism,hostel,TRUE,TRUE,TRUE
tourism,hotel,TRUE,TRUE,TRUE
tourism,motel,TRUE,TRUE,TRUE
tourism,museum,TRUE,TRUE,TRUE
tourism,theme_park,TRUE,TRUE,TRUE
tourism,zoo,TRUE,TRUE,TRUE
